Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,4
2,9,12
3,17,19
4,24,26
5,31,34
6,39,40
7,45,46
8,51,53
9,58,62
10,67,69
11,74,76
12,81,82
13,87,90
14,95,100
15,105,107
16,112,114
17,119,122
18,127,130
19,135,137
20,142,143
21,148,149
22,154,159
23,164,166
24,171,173
25,178,180
26,185,188
27,193,196
28,201,203
29,208,212
30,217,220
31,225,228
32,233,236
33,241,242
34,247,249
35,254,255
36,260,263
37,268,269
38,274,275
39,280,281
40,286,287
41,292,295
42,300,303
43,308,312
44,317,319
45,324,327
46,332,333
47,338,340
48,345,347
49,352,353
50,358,360
51,365,368
52,373,377
53,382,386
54,391,392
55,397,399
56,404,408
57,413,416
58,421,423
59,428,432
60,437,440
61,445,448
62,453,455
63,460,463
64,468,470
65,475,479
66,484,488
67,493,497
68,502,505
69,510,514
70,519,521
71,526,530
72,535,537
73,542,545
74,550,552
75,557,561
76,566,569
77,574,575
78,580,583
79,588,592
80,597,600
81,605,608
82,613,616
83,621,622
84,627,630
85,635,637
86,642,645
87,650,652
88,657,658
89,663,666
90,671,672
91,677,679
92,684,688
93,693,695
94,700,703
95,708,711
96,716,717
97,722,723
98,728,731
99,736,737
100,742,745
101,750,751
102,756,758
103,763,764
104,769,771
105,776,779
106,784,786
107,791,792
108,797,801
109,806,809
110,814,816
111,821,823
112,828,830
113,835,837
114,842,845
115,850,853
116,858,859
117,864,866
118,871,872
119,877,880
120,885,887
121,892,895
122,900,901
123,906,909
124,914,916
125,921,922
126,927,930
127,935,938
128,943,947
129,952,956
130,961,963
131,968,969
132,974,978
133,983,985
134,990,994
135,999,1000
136,1005,1007
137,1012,1015
138,1020,1023
139,1028,1031
140,1036,1039
141,1044,1045
142,1050,1052
143,1057,1060
144,1065,1066
145,1071,1073
146,1078,1079
147,1084,1087
148,1092,1093
149,1098,1100
150,1105,1108
