Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,2.0
2,8.0,10.0
3,16.0,18.0
4,24.0,26.0
5,32.0,34.0
6,40.0,42.0
7,48.0,50.0
8,56.0,58.0
9,64.0,66.0
10,72.0,74.0
11,80.0,82.0
12,88.0,90.0
13,96.0,98.0
14,104.0,106.0
15,112.0,114.0
16,120.0,122.0
17,128.0,130.0
18,136.0,138.0
19,144.0,146.0
20,152.0,154.0
21,160.0,163.0
22,169.0,171.0
23,177.0,179.0
24,185.0,187.0
25,193.0,196.0
26,202.0,204.0
27,210.0,212.0
28,218.0,220.0
29,226.0,228.0
30,234.0,237.0
31,243.0,246.0
32,252.0,254.0
33,260.0,262.0
34,268.0,270.0
35,276.0,278.0
36,284.0,286.0
37,292.0,295.0
38,301.0,303.0
39,309.0,311.0
40,317.0,319.0
41,325.0,327.0
42,333.0,335.0
43,341.0,343.0
44,349.0,351.0
45,357.0,359.0
46,365.0,367.0
47,373.0,375.0
48,381.0,383.0
49,389.0,391.0
50,397.0,399.0
